eventname,name,not_attending,selected_menu,facility_name,facility_type,event date,created_at,days,Workdays,event type,  value  ,  menu_price ,capacity,,,
INTERNATIONAL ICE HOCKEY,Turnkey Client  - Demo and Testing Account,,Menu Two,Suite 100,Suite,26/07/2014 18:45,26:53.6,9,7,Live Event,$990.00, $55.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Turnkey Client  - Demo and Testing Account,,Menu Two,Suite 100,Suite,26/07/2014 18:45,32:11.7,9,7,Live Event,$990.00, $55.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Veolia,,Menu Two,Suite 45,Suite,26/07/2014 18:45,57:48.9,15,11,Live Event,$990.00, $55.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Vero Insurance Limited,,Menu Two,Suite 22,Suite,26/07/2014 18:45,16:48.0,8,6,Live Event,$990.00, $55.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Visa Entertainment,TRUE,,Suite 27,Suite,26/07/2014 18:45,16:11.6,15,11,Live Event,$0.00, $-   ,18,,,
INTERNATIONAL ICE HOCKEY,Visy Board,,Menu Two,Suite 21,Suite,26/07/2014 18:45,13:40.8,12,10,Live Event,$990.00, $55.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Wakeling Automative,,Menu Two,Suite 31,Suite,26/07/2014 18:45,08:14.8,9,7,Live Event,$990.00, $55.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,2GB,,,Suite 35,Suite,19/07/2014 19:30,46:52.9,10,8,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Acer Computers,TRUE,,Suite 41,Suite,19/07/2014 19:30,02:24.4,4,3,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Allphones Arena,TRUE,,Suite 13,Suite,19/07/2014 19:30,42:10.2,9,7,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,American Express,,,Suite 14,Suite,19/07/2014 19:30,22:22.1,1,1,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Audi Australia,,Menu One,Suite 18,Suite,19/07/2014 19:30,23:47.7,11,9,Live Event,"$1,170.00", $65.00 ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Austeire,,,Suite 19,Suite,19/07/2014 19:30,27:52.6,5,5,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Bank Of Queensland,,,Suite 9,Suite,19/07/2014 19:30,31:23.2,9,7,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Bauer Media Group,,,Suite 47,Suite,19/07/2014 19:30,48:53.5,4,3,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Big Picture,,,Suite 25,Suite,19/07/2014 19:30,34:37.6,11,9,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Blacktown Workers Club,,,Suite 34,Suite,19/07/2014 19:30,47:24.2,10,8,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,CABE,TRUE,,Suite 39,Suite,19/07/2014 19:30,22:43.5,4,4,Live Event,$0.00, $-   ,18,,,
PBR AUSTRALIAN NATIONAL FINALS,Corporate Electrical Group,,,Suite 44,Suite,19/07/2014 19:30,04:00.2,5,5,Live Event,$0.00, $-   ,18,,,
